tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt2145903,movie,The Cohasset Snuff Film,0,2012,85,"Crime,Horror,Thriller",4.1,738,nm3078850
tt11518302,movie,Ninja Badass,0,2020,103,Comedy,6.4,36,nm1938571
tt0368559,movie,In the Forest... Again,0,2003,123,Drama,5.7,167,nm0315872
tt27224074,movie,Thrishanku,0,2023,112,"Adventure,Comedy,Drama",6.3,644,nm14680658
tt0434883,movie,Dead Easy,0,2004,97,"Crime,Thriller",4.1,242,nm0839237
tt0493949,movie,Ramona and Beezus,0,2010,103,"Comedy,Drama,Family",6.5,20694,nm0020491
tt8522844,movie,In the Desert - A Documentary Diptych: Omar's Dream,0,2018,112,Documentary,8.5,9,nm0265384
tt12735324,movie,Minamata Mandala,0,2020,372,Documentary,8.5,44,nm0361672
tt22169746,movie,Ranasthali,0,2022,140,"Action,Drama,Mystery",8.1,1102,nm11227474
tt3169780,movie,Mediastan,0,2013,94,Documentary,7.6,449,nm4295801
tt1954353,movie,Cruz del Sur,0,2012,97,"Comedy,Drama,Family",6.3,64,"nm2169494,nm2174751"
tt8844174,movie,Island Road,0,2019,74,Documentary,7.7,22,nm5455356
tt3169676,movie,Meinu Ek Ladki Chaahiye,0,2014,,"Comedy,Crime,Drama",3.3,17,nm6808897
tt14132316,movie,Ancient Soul,0,2021,93,Drama,5.7,35,nm0974424
tt4614654,movie,Wrong Swipe,0,2016,85,Thriller,4.9,650,nm0505075
tt5483626,movie,Enai Noki Paayum Thota,0,2019,153,"Action,Drama,Romance",5.5,2150,nm1069826
tt1837548,movie,El asesinato de Trotsky,0,2007,98,History,6.9,28,nm2256873
tt7978238,movie,Bend Don't Break,0,2019,83,"Documentary,Sport",2.5,60,nm9613485
tt0464022,movie,Glastonbury,0,2006,138,"Documentary,Music",6.6,957,nm0854697
tt1090307,movie,Calavera Highway,0,2010,88,Documentary,7.6,16,nm0846967
tt10288320,movie,Modelar,0,2020,105,"Crime,Drama,Thriller",6.1,304,nm0954500
tt5508744,movie,Zamuzh v 30,0,2016,,Comedy,7.3,8,nm4499210
tt9129686,movie,Days of Daisy,0,2022,96,Comedy,4.7,226,nm3679527
tt6136260,movie,Orishas: The Hidden Pantheon,0,2016,105,"Action,Adventure,Sci-Fi",6.6,20,nm8190027
tt12275214,movie,The Man Who Would Be Free,0,2019,106,"Documentary,Reality-TV",7.6,15,"nm2613569,nm4299787"
tt11389868,movie,Marvelous and the Black Hole,0,2021,81,"Comedy,Drama",6.2,2489,nm3037980
tt9345754,movie,The Occupant,0,2020,103,"Drama,Thriller",6.4,20753,"nm0665041,nm1883612"
tt10468098,movie,A Stray Goat,0,2017,91,"Drama,Romance",6.1,166,nm6297652
tt29921322,movie,Tell Me More About Evil,0,2014,49,Music,10,14,nm9024884
tt6377612,movie,Malati di sesso,0,2018,90,"Comedy,Romance",4.3,169,nm3034075
tt16350290,movie,The Plan,0,2014,98,"Crime,Thriller",7.5,10,nm7847522
tt4557998,movie,Girls Like Magic,0,2017,80,Romance,6.2,213,nm2639311
tt28035968,movie,Covenant of the Salmon People,0,2023,58,Documentary,8.9,11,nm2354246
tt1935139,movie,Hannah Has a Ho-Phase,0,2012,93,"Comedy,Romance",5.6,121,"nm3301880,nm3370420"
tt0393939,movie,Vegas Vampires,0,2007,89,Horror,2.2,325,nm0004365
tt19045536,movie,Moonlight Butterfly,0,2022,104,Drama,4.8,443,nm0482774
tt6397284,movie,Second Winter,0,2016,70,Drama,6.2,9,nm8691089
tt6593496,movie,America is Waiting,0,2018,65,Documentary,8.4,11,nm1499605
tt28100718,movie,The Fantastic Three,0,2023,95,Drama,6.5,288,nm6772140
tt0115686,movie,Biriken,0,2008,100,"Comedy,Fantasy",6.4,35,nm0757081
tt6857354,movie,Haunted Sisters,0,2017,89,"Drama,Horror,Thriller",3.9,23,nm9796272
tt3720724,movie,Requirements to Be a Normal Person,0,2015,90,"Comedy,Romance",6.4,3062,nm1206701
tt2819224,movie,The Human Factor,0,2013,76,Documentary,5.9,16,nm5410101
tt1027814,movie,Galiyon Ka Badshah,0,2001,,"Action,Thriller",6.3,14,nm1328135
tt5909186,movie,Tone Death,0,2017,80,"Comedy,Horror,Music",4.9,65,"nm4347012,nm6442404"
tt0484383,movie,Catching the Chameleon,0,2005,47,Drama,8.8,10,nm0114999
